ID;Typ ;Target;Hmin_m;Hmax_m; Hmean_m;Catchment_Area_km; FL_m; FS_in; EZGL_m; EZGS_in; Rlf ;Meltons_R;Form;Cplan;Cpro ;ksn_m09
3;DF ;1;4232;5057;4613;1574675;842;15.47;1932;23.12;0.427;0.657;0.485;0.0127;-0.04892;127.25
4;DF ;1;4158;5194;4750;1327.5;752;16.24;1920;28.35;0.539;0.899;0.414;-0.00975;-0.01577;150.38
7;DF ;1;3783;4955;4473;1369.8;451;16.9;2503;25.09;0.468;1001;0.257;-0.01745;-0.01423;152.1
9;DF ;1;3962;5798;5014;5148.9;1022;14.06;5085;19.85;0.361;0.809;0.236;-0.00411;-0.00449;155.08
11;DF ;1;3844;5555;4758;3704.4;512;11.37;3787;24.31;0.452;0.889;0.307;-0.01263;-0.0122;137.16
13;DF ;1;3836;5912;4978;5370083;1117;13.2;4852;23.16;0.428;0.896;0.284;-0.00189;0.01692;165.57
14;DF ;1;3828;5843;4945;4667.71;1178;12.96;5076;21.65;0.397;0.933;0.214;0.0026;0.00211;202.31
17;DF ;1;3761;5260;4490;3676.5;1295;8.17;3439;23.55;0.436;0.782;0.376;-0.01204;-0.01;174.77
18;DF ;1;3749;5080;4449;2717.1;567;12.53;2808;25.36;0.474;0.807;0.398;-0.01787;-0.01533;140.16
19;DF ;1;3684;4957;4356;2978.1;627;12.33;2898;23.71;0.439;0.738;0.404;-0.01029;-0.0116;170.72
21;DF ;1;3735;5109;4282;2776.5;206;8.29;3680;20.47;0.373;0.825;0.228;0.00406;-0.00052;133.45
23;DF ;1;3849;5033;4444;1215.9;1327;15.98;2058;29.92;0.575;1074;0.351;-0.01295;-0.01928;194.52
25;DF ;1;3700;4999;4400;901.8;885;10.62;2227;30.25;0.583;1368;0.223;-0.03071;-0.02972;109.76
26;DF ;1;3685;5447;4793;5129.1;1314;8.4;4106;23.22;0.429;0.778;0.36;-0.01922;-0.01926;225.54
29;DF ;1;4174;5765;5107;3303.9;947;10.35;4054;21.43;0.392;0.875;0.231;-0.01247;-0.00999;196.1
30;DF ;1;4110;5504;4627;1517.4;575;10.73;2538;28.77;0.549;1132;0.276;-0.00636;-0.00669;138.46
31;DF ;1;4085;5615;4926;5309.1;383;12.37;4141;20.28;0.369;0.664;0.356;-0.01372;-0.01419;202.34
33;DF ;1;4272;5354;489;1667.7;750;16.49;2271;25.47;0.476;0.838;0.396;-0.03521;-0.02969;199.67
35;DF ;1;4285;5388;4831;1110.6;643;11.26;1719;32.69;0.642;1047;0.463;-0.01059;-0.03148;142.6
36;DF ;1;4368;5617;5104;3775.5;614;14.17;2790;24.11;0.448;0.643;0.566;-0.02144;-0.0216;178.98
37;DF ;1;4234;4999;4624;511.2;381;11.28;1800;23.03;0.425;1070;0.174;-0.00752;-0.00713;138.46
41;DF ;1;4660;5064;4886;238274;558;16.76;825;26.1;0.49;0.828;0.385;0.0014;-0.00156;65.01
42;DF ;1;4534;5042;4804;330448;411;14.72;1217;22.65;0.417;0.884;0.247;-0.00391;-0.00451;47.71
48;DF ;1;4991;5971;5582;2140.2;572;12.8;2841;19.03;0.345;0.67;0.29;-0.00761;-0.00677;156.13
49;DF ;1;5069;5969;5593;2593.8;537;15.61;2949;16.97;0.305;0.559;0.322;-0.00823;-0.00422;141.76
50;DF ;1;5139;5927;5609;2965.5;483;16.38;3086;14.33;0.255;0.458;0.333;-0.01024;-0.0095;116.81
53;DF ;1;4840;5419;5133;1030.5;516;12.14;1667;19.15;0.347;0.57;0.4;-0.0104;-0.02108;52.43
57;DF ;1;4688;5181;4964;573743;182;18.53;1399;19.41;0.352;0.651;0.334;-0.05321;-0.04036;57.63
59;DF ;1;4092;5153;4779;3110.4;328;14.53;2850;20.42;0.372;0.602;0.414;-0.01896;-0.01845;129.84
62;DF ;1;4184;5616;4993;6803.1;408;10.42;3967;19.85;0.361;0.549;0.512;-0.00277;-0.00378;159.38
63;DF ;1;4098;5431;4789;2251.8;231;11.98;2522;27.86;0.528;0.888;0.426;-0.01438;-0.01705;108.73
64;DF ;1;4214;5876;5033;2478.6;442;19.09;3543;25.13;0.469;1056;0.228;-0.01144;-0.0135;159.17
65;DF ;1;4486;5892;5216;893.7;426;15.86;2482;29.53;0.567;1487;0.176;-0.01977;-0.01249;165.76
66;DF ;1;4477;6193;5407;6363;428;8.9;3687;24.96;0.465;0.68;0.566;-0.01349;-0.01361;219.04
67;DF ;1;4733;6195;5569;3105.9;276;11.67;3776;21.17;0.387;0.83;0.256;-0.00566;-0.00457;197.49
69;DF ;1;4239;5469;4906;1398.6;256;6.02;2514;26.07;0.489;1040;0.258;-0.02071;-0.01835;165.69
70;DF ;1;4229;5846;5001;4581;595;8.13;4258;20.8;0.38;0.755;0.293;-0.00858;-0.00827;197.15
71;DF ;1;4066;5965;4993;9535.5;431;5.3;5462;19.17;0.348;0.615;0.366;0.00517;0.00464;159.69
72;DF ;1;4606;5405;5046;1818.9;658;7.62;1812;23.79;0.441;0.592;0.669;-0.01853;-0.02072;102.76
74;DF ;1;4557;5629;5119;1940.4;475;15.64;2132;26.7;0.503;0.77;0.505;-0.01664;-0.02401;136.12
75;DF ;1;4845;5794;5325;936.9;681;15.12;1741;28.59;0.545;0.98;0.371;-0.0184;-0.01488;91.66
76;DF ;1;4815;5900;5369;1188;182;17.39;2538;23.15;0.428;0.995;0.212;-0.00626;-0.01375;112.65
77;DF ;1;5170;6350;5804;2646.9;499;14.06;2609;24.33;0.452;0.725;0.454;-0.01084;-0.0119;168.58
80;DF ;1;4454;5587;4974;1049.4;218;9.63;2736;22.49;0.414;1106;0.157;-0.01336;-0.00716;87.32
84;DF ;1;3796;4713;4302;685.8;162;9.12;1551;30.59;0.591;1107;0.343;0.01479;-0.00213;73.48
86;DF ;1;3763;4879;4264;2138.4;146;20.64;3062;20.02;0.364;0.763;0.268;0.0169;0.01695;101.93
93;DF ;1;3559;4889;4196;4795.2;1670;7.4;3909;18.79;0.34;0.607;0.376;-0.0071;-0.00779;138.67
95;DF ;1;3727;4607;4122;2926.8;486;3.18;2816;17.35;0.312;0.514;0.422;0.00941;0.00886;101.64
98;DF ;1;3963;4945;4472;2052;829;9.79;2663;20.24;0.369;0.686;0.332;-0.01908;-0.00724;129
99;DF ;1;3530;4279;3864;1256.4;391;5.26;2318;17.91;0.323;0.668;0.276;-0.01007;-0.00831;85.24
100;DF ;1;3454;4303;3840;1206;631;6.87;1710;26.41;0.497;0.773;0.481;-0.01246;-0.01213;89.43
104;DF ;1;4364;5539;4945;3787779;182;10.89;3038;21.15;0.387;0.604;0.481;0.00819;0.00684;139.13
105;DF ;1;4324;5921;5169;8316;400;8.11;5096;17.4;0.313;0.554;0.379;-0.00263;-0.00341;177.18
106;DF ;1;3632;4768;4206;2648.7;581;9.19;2514;24.31;0.452;0.698;0.526;-0.01105;-0.00946;150.16
107;DF ;1;3531;4043;3759;117.9;123;15.45;848;31.12;0.604;1491;0.204;0.07076;0.07416;51.45
108;DF ;1;4165;5448;4865;5340954;99;17.39;4044;17.6;0.317;0.555;0.39;-0.00231;-0.01099;143.03
110;DF ;1;3585;4711;4112;2039.4;331;7.57;2108;28.11;0.534;0.788;0.567;-0.01319;-0.01579;105.58
111;DF ;1;3622;5083;4330;3423.6;386;11.85;3263;24.12;0.448;0.79;0.394;-0.01781;-0.01396;175.67
112;DF ;1;3594;4766;4192;1945.8;252;13.82;2097;29.2;0.559;0.84;0.553;-0.01849;-0.02281;161.44
113;DF ;1;3766;5282;4552;3544.2;212;9.37;3023;26.63;0.501;0.805;0.482;-0.01448;-0.01727;187.13
114;DF ;1;3679;5514;4544;8463.6;442;11.51;4763;21.07;0.385;0.631;0.475;-0.00551;-0.00499;210.53
115;DF ;1;3735;5172;4440;2130.3;292;18.2;2611;28.83;0.55;0.985;0.408;-0.01815;-0.01853;178.69
117;DF ;1;4884;5876;5430;1185.3;1192;12.12;1843;28.29;0.538;0.911;0.417;-0.02496;-0.02648;156.38
120;DF ;1;4519;6204;5473;8337414;1039;10.2;3931;23.2;0.429;0.584;0.647;-0.00972;-0.007;190.12
121;DF ;1;4372;6069;5249;10606.5;927;9.67;4503;20.65;0.377;0.521;0.62;-0.00264;-0.00285;185.48
122;DF ;1;4231;5125;4735;1938.6;746;9.96;2381;20.58;0.375;0.642;0.393;-0.01629;-0.01583;111.32
123;DF ;1;4108;5865;5108;4065752;797;13;3732;25.21;0.471;0.871;0.351;0.00244;-0.0184;201.31
124;DF ;1;4521;5852;5208;2743.2;819;13.86;2761;25.74;0.482;0.804;0.428;-0.02039;-0.01678;171.09
126;DF ;1;3891;6133;5211;9234;769;13.39;4054;28.94;0.553;0.738;0.725;-0.00484;-0.00426;211.95
127;DF ;1;3945;5958;5035;2822.4;644;18.86;3106;32.95;0.648;1198;0.384;-0.00294;-0.01098;269.9
128;DF ;1;4205;5760;5128;1117.8;864;19.44;2716;29.79;0.573;1471;0.181;0.00212;-0.00942;175.05
131;DF ;1;4402;6011;5315;3255.3;842;19.25;3302;25.98;0.487;0.892;0.374;-0.01901;-0.02192;261.73
133;DF ;1;4829;5909;5483;1085.4;340;14.51;2418;24.07;0.447;1037;0.216;-0.02726;-0.02928;110.39
134;DF ;1;4629;5841;5263;2141.1;796;14.31;2552;25.41;0.475;0.828;0.386;-0.02227;-0.02175;163.23
135;DF ;1;3618;5593;4771;2425.5;756;18.5;3163;31.98;0.624;1268;0.297;-0.01485;-0.01444;228.51
138;DF ;1;4753;6202;5580;4391.1;477;19.51;3581;22.03;0.405;0.691;0.418;0.00666;0.01012;129
139;DF ;1;4480;6270;5502;9459;525;9.41;5143;19.19;0.348;0.582;0.429;0.01977;0.01897;94.34
140;DF ;1;3300;5976;4683;3880.8;395;15.02;4527;30.59;0.591;1358;0.239;-0.00227;0.00054;292.6
141;DF ;1;3404;5972;4742;4017.6;962;11.46;4136;31.84;0.621;1281;0.302;-0.00878;-0.0095;291.8
142;DF ;1;3351;5443;4340;1842.3;852;12.76;2885;35.94;0.725;1541;0.297;-0.00887;-0.01104;247.83
144;DF ;1;4562;5800;5208;2626.2;427;12.8;2233;29;0.554;0.764;0.624;-0.01692;-0.02111;202.16
145;DF ;1;4419;5664;5161;1851.3;399;11.06;2437;27.06;0.511;0.915;0.375;-0.03505;-0.03289;169.6
146;DF ;1;4223;5546;5005;2780.1;290;12.07;2621;26.78;0.505;0.793;0.484;-0.02707;-0.03146;171.68
147;DF ;1;3479;5466;4803;3035.7;1453;14.77;3342;30.73;0.594;1140;0.341;-0.03288;-0.03743;237.16
149;DF ;1;4438;5290;4987;1521;313;13.13;1824;25.03;0.467;0.691;0.524;-0.04048;-0.04351;125.47
150;DF ;1;4218;5685;4935;2696.4;403;12.05;3138;25.05;0.467;0.893;0.327;-0.01026;-0.01164;188.74
152;DF ;1;3964;5734;5053;7580.7;303;17.58;3811;24.91;0.464;0.643;0.605;-0.01157;-0.01119;172.07
153;DF ;1;4075;5599;4938;2695.5;1058;15.38;2901;27.71;0.525;0.928;0.392;-0.02743;-0.01994;221.81
154;DF ;1;3940;5562;4796;3601.8;679;10.68;2436;33.65;0.666;0.855;0.745;-0.01488;-0.01899;227.04
156;DF ;1;4248;5343;4911;1105.2;432;24.51;2001;28.69;0.547;1042;0.334;-0.05211;-0.05781;163.01
157;DF ;1;3020;5341;4312;3877.2;562;25.74;3720;31.96;0.624;1179;0.396;-0.03383;-0.03708;328.56
161;DF ;1;2708;5411;4277;7346.62;503;18.47;4564;30.63;0.592;0.997;0.495;-0.01333;-0.01387;212.15
162;DF ;1;3169;5092;4207;2489.4;705;11.31;3013;32.55;0.638;1219;0.335;-0.01155;-0.01163;186.86
163;DF ;1;3170;4668;4098;905.4;457;16.46;1959;37.41;0.765;1574;0.321;-0.00739;-0.02054;145.52
166;DF ;1;3321;5691;4646;4182.3;1055;8.62;4128;29.86;0.574;1159;0.309;-0.00631;-0.00882;280.95
170;DF ;1;3504;5850;4872;11712.6;1835;7.6;4800;26.05;0.489;0.685;0.65;-0.00787;-0.00778;271.3
171;DF ;1;3461;5400;4687;1896.3;552;15.11;2808;34.63;0.691;1408;0.353;-0.0059;-0.01676;164.18
1;F ;0;4173;5842;5113;42684894;1105;8.8;10577;8.97;0.158;0.255;0.435;0.01772;0.01789;84.78
2;F ;0;4404;5872;5198;7754.4;1461;14.73;5179;15.82;0.283;0.527;0.34;0.0227;0.02485;71.89
5;F ;0;3823;5885;4945;40680;907;4.41;9467;12.29;0.218;0.323;0.524;0.00777;0.00805;137.6
6;F ;0;3821;5650;4873;14241.6;867;6.91;6907;14.83;0.265;0.485;0.343;0.00337;0.00397;191.09
8;F ;0;3732;5769;4941;52390.8;1391;4.36;10090;11.41;0.202;0.281;0.58;0.00819;0.00837;117.18
10;F ;0;3758;6100;5032;41166;909;7.09;11970;11.07;0.196;0.365;0.342;0.02148;0.02174;136.5
12;F ;0;3723;6255;5158;37938.6;1053;7.47;13458;10.66;0.188;0.411;0.256;0.02575;0.0253;113.2
15;F ;0;3950;6285;5176;15289.2;2790;7.96;8847;14.78;0.264;0.597;0.242;0.0254;0.02505;132.97
16;F ;0;3683;5728;4970;39403.8;1025;5.07;9829;11.75;0.208;0.326;0.47;0.00856;0.00859;134.36
20;F ;0;3673;5642;4594;15853.5;1645;5.52;6335;17.27;0.311;0.495;0.449;0.00141;0.00043;162.72
22;F ;0;3664;5328;4463;13823.1;2221;4.51;5397;17.14;0.308;0.448;0.558;0.00286;0.00233;153.55
24;F ;0;3600;5733;4741;50175.9;1584;4.94;9861;12.21;0.216;0.301;0.62;0.00601;0.00604;169.93
27;F ;0;3680;5729;4911;7999.2;1534;6.62;5441;20.63;0.377;0.724;0.315;-0.00697;-0.00649;174.99
28;F ;0;4644;6078;5462;22813.2;425;5.78;6881;11.77;0.208;0.3;0.547;0.01174;0.01107;93.23
32;F ;0;4035;5726;5055;47736;276;3.73;12844;7.5;0.132;0.245;0.323;0.0043;0.00454;120.66
34;F ;0;4158;5816;5166;35891.1;468;8.99;8263;11.35;0.201;0.277;0.589;0.00741;0.00728;106.92
38;F ;0;4318;5944;5331;15862.5;775;5.09;7349;12.48;0.221;0.408;0.337;0.00566;0.00576;119.41
39;F ;0;4320;5999;5330;37900.8;515;7.74;9015;10.55;0.186;0.273;0.545;0.01046;0.01131;98.54
40;F ;0;4536;5795;5130;3835.8;748;4.59;3706;18.76;0.34;0.643;0.311;-0.00965;-0.01074;130.45
43;F ;0;472;5880;5203;25006.5;1145;0.1;6811;9.67;0.17;0.232;0.577;0.00599;0.00612;99.28
44;F ;0;4729;5854;5199;8563.5;1170;0.54;4754;13.31;0.237;0.384;0.406;-0.002;-0.0024;130.22
45;F ;0;4764;5854;5227;4231.8;1344;1.96;3830;15.89;0.285;0.53;0.31;0.0025;0.00113;121.49
46;F ;0;4803;5589;5002;3386.7;2029;1.95;3380;13.09;0.233;0.427;0.31;0.00857;0.00878;39.68
47;F ;0;4545;5405;4862;5437.8;232;5.17;3655;13.24;0.235;0.369;0.436;0.02944;0.029;61.87
51;F ;0;4672;6037;5418;34424.1;129;7.51;12196;6.39;0.112;0.233;0.249;0.00674;0.0094;107.34
52;F ;0;4779;6061;5534;34363635;259;15.12;12431;5.89;0.103;0.219;0.242;0.01584;0.00866;92.39
54;F ;0;4777;6148;5414;26436.6;1096;2.82;9986;7.82;0.137;0.267;0.283;0.00522;0.00527;93.69
55;F ;0;4750;6158;5437;23465.7;1302;4.22;8094;9.87;0.174;0.291;0.394;0.00463;0.00472;114.45
56;F ;0;4678;6181;5129;9337.5;391;6.13;5726;14.71;0.263;0.492;0.318;0.00884;0.00824;99.55
58;F ;0;4020;6369;5368;60764.4;689;1.91;10932;12.13;0.215;0.301;0.556;0.00783;0.00784;150.8
60;F ;0;4022;5994;5180;34078.5;222;0.52;9482;11.75;0.208;0.338;0.408;0.00719;0.00726;97.29
61;F ;0;4583;6023;5372;20475.9;1169;6.93;6197;13.08;0.232;0.318;0.582;0.00137;0.00181;134.35
68;F ;0;4088;6494;5482;156971.7;631;3.81;20392;6.73;0.118;0.192;0.426;0.01884;0.01872;109.38
73;F ;0;4318;5330;4924;4852.8;1213;8.21;3549;15.91;0.285;0.459;0.426;-0.01185;-0.01162;116.3
78;F ;0;4874;6494;5722;43764.3;698;3.44;10276;8.96;0.158;0.245;0.453;0.01517;0.01539;89.58
79;F ;0;4196;6456;5114;198842.4;2401;1.26;23281;5.54;0.097;0.16;0.396;0.00897;0.00908;101.65
81;F ;0;4140;5366;4720;9848876;270;8.22;5938;11.67;0.206;0.391;0.322;0.0032;0.00298;107.89
82;F ;0;3956;5370;4626;15493.5;183;8.39;6763;11.81;0.209;0.359;0.399;0.00427;0.00538;113.78
83;F ;0;3850;5831;4726;117299.7;369;5.26;14808;7.62;0.134;0.183;0.602;0.0114;0.01123;98.02
85;F ;0;3777;4963;4368;3627.9;216;10.75;3923;16.82;0.302;0.623;0.278;0.01006;0.00962;114
87;F ;0;3923;5877;4845;7943.4;447;8.4;6412;16.95;0.305;0.693;0.229;0.01506;0.01239;201.46
88;F ;0;4007;5837;4918;17715.6;209;7.63;7254;14.16;0.252;0.435;0.383;0.00198;0.00238;162.72
89;F ;0;3452;5108;4143;12470.4;2402;5.33;595;15.55;0.278;0.469;0.413;0.00575;0.00543;128.66
90;F ;0;3513;6092;4760;66450.6;4623;3.45;14865;9.84;0.173;0.316;0.34;0.00991;0.00999;128.09
91;F ;0;3500;5928;4709;108433.8;4424;3;15786;8.74;0.154;0.233;0.489;0.0076;0.00755;125.35
92;F ;0;3600;5654;4399;12294.9;2272;6.85;6765;16.89;0.304;0.586;0.311;0.00153;0.00153;154.02
94;F ;0;3455;5790;4637;56466.9;3576;3.74;14587;9.09;0.16;0.311;0.3;0.00789;0.00767;122.41
96;F ;0;3445;5633;4441;55623.6;3362;2.89;12918;9.61;0.169;0.293;0.379;0.00808;0.008;132.75
97;F ;0;3441;5931;4589;116553.6;867;4.55;17578;8.06;0.142;0.231;0.423;0.01049;0.01021;116.26
101;F ;0;3522;4921;4231;13680;1103;6.05;5042;15.51;0.277;0.378;0.635;0.00175;0.00247;115.37
102;F ;0;3567;5789;4511;37908.9;1901;4.9;10280;12.2;0.216;0.361;0.414;0.00446;0.00536;149.61
103;F ;0;3554;5240;4270;13647861;1116;7.5;6837;13.85;0.247;0.456;0.339;0.01207;0.0022;135.09
109;F ;0;3574;5870;4741;23299.2;419;8.68;8215;15.61;0.279;0.476;0.401;0.00658;0.00653;172.93
116;F ;0;3704;5986;4977;33780.6;526;9.92;10989;11.73;0.208;0.393;0.322;0.00523;0.00488;159.36
118;F ;0;4473;6288;5516;29787.3;1227;4.84;10440;9.86;0.174;0.333;0.314;0.0136;0.01312;122.3
119;F ;0;4440;6287;5445;173258.1;1652;2.36;19300;5.47;0.096;0.14;0.52;0.01901;0.0191;95.13
125;F ;0;4845;5878;5438;5452.2;343;2.17;4033;14.37;0.256;0.442;0.374;0.0031;0.00418;103.87
129;F ;0;4125;6577;5609;125498.7;964;4.74;18378;7.6;0.133;0.219;0.445;0.02042;0.02034;126.39
130;F ;0;4177;6782;5651;89531.1;1644;3.97;14864;9.94;0.175;0.275;0.476;0.02091;0.02098;95.47
132;F ;0;3483;6091;5022;22205.7;403;13.13;7824;18.43;0.333;0.553;0.452;-0.00263;-0.00251;203.45
136;F ;0;3347;6088;4728;19183.5;638;9.08;7775;19.42;0.353;0.626;0.374;0.00281;0.00372;217.92
137;F ;0;3434;5910;4951;49084.2;1239;7.99;12817;10.93;0.193;0.353;0.344;0.00484;0.00473;175.36
143;F ;0;3175;6182;5073;516640.5;2580;2.33;28773;5.97;0.105;0.132;0.715;0.01318;0.01321;121.62
148;F ;0;3223;6101;4828;35110.8;1818;4.87;9847;16.29;0.292;0.486;0.434;0.00699;0.00635;193.01
151;F ;0;3078;6105;5058;446286.6;622;6.42;37424;4.62;0.081;0.143;0.369;0.01596;0.01599;125.25
155;F ;0;4032;5909;5103;15421.5;688;9.73;5364;19.29;0.35;0.478;0.634;-0.004;-0.00353;156.16
158;F ;0;2706;5980;4790;117798.3;590;4.75;21097;8.82;0.155;0.302;0.319;0.01496;0.01482;143.1
159;F ;0;2743;5595;4624;53121.6;639;11.41;12084;13.28;0.236;0.391;0.456;0.01733;0.01752;155.33
160;F ;0;2650;5520;4641;141622.2;526;7.69;22019;7.43;0.13;0.241;0.346;0.01851;0.01857;128.41
164;F ;0;3199;5836;4789;15741;998;9.05;6965;20.74;0.379;0.665;0.403;-0.00309;-0.00231;243.13
165;F ;0;3120;5926;4547;44784;607;7.23;10913;14.42;0.257;0.419;0.442;0.00687;0.00706;167.5
167;F ;0;3356;7626;5473;121665.6;1649;5.47;20542;11.74;0.208;0.387;0.339;0.01828;0.01842;87.89
168;F ;0;3474;6348;5219;82893.6;1532;6.77;13306;12.19;0.216;0.316;0.572;0.02312;0.02331;109.66
169;F ;0;3399;6503;5146;70630.2;805;7.08;13040;13.39;0.238;0.369;0.514;0.02364;0.02375;109.09